%bin  freq(Hz)  sens (h/sqrt(Hz)

1  0.15  1.74e-10
2  0.25  3.031e-10
3  0.35  3.166e-11
4  0.45  3.887e-11
5  0.55  2.464e-11
6  0.649999  2.887e-12
7  0.749999  1.56e-12
8  0.849999  5.414e-13
9  0.949999  4.077e-12
10  1.05  2.695e-13
11  1.15  3.814e-14
12  1.25  6.959e-15
13  1.35  4.276e-15
14  1.45  2.679e-15
15  1.55  4.104e-16
16  1.65  1.446e-16
17  1.75  7.206e-15
18  1.85  2.434e-17
19  1.95  3.285e-18
20  2.05  9.588e-19
21  2.15  3.346e-19
22  2.25  1.563e-19
23  2.35  1.061e-19
24  2.45  9.142e-20
25  2.55  8.206e-20
26  2.65  7.237e-20
27  2.75  6.612e-20
28  2.85  6.047e-20
29  2.95  5.534e-20
30  3.05  5.066e-20
31  3.15  4.639e-20
32  3.25  4.374e-20
33  3.35  4.007e-20
34  3.45  3.78e-20
35  3.55  3.463e-20
36  3.65  3.268e-20
37  3.75  3.083e-20
38  3.85  2.826e-20
39  3.95  2.667e-20
40  4.05  2.518e-20
41  4.15  2.377e-20
42  4.25  2.244e-20
43  4.35  2.118e-20
44  4.45  2e-20
45  4.55  1.889e-20
46  4.65  1.784e-20
47  4.75  1.686e-20
48  4.85  1.593e-20
49  4.95  1.549e-20
50  5.05  1.464e-20
51  5.14999  1.385e-20
52  5.24999  1.348e-20
53  5.34999  1.276e-20
54  5.44999  1.21e-20
55  5.54999  1.179e-20
56  5.64999  1.122e-20
57  5.74999  1.095e-20
58  5.84999  1.05e-20
59  5.94999  1.031e-20
60  6.04999  1.007e-20
61  6.14999  1.007e-20
62  6.24999  1.019e-20
63  6.34999  1.135e-20
64  6.44999  1.314e-20
65  6.54999  1.776e-20
66  6.64999  2.999e-19
67  6.74999  2.67e-20
68  6.84999  1.466e-20
69  6.94999  9.127e-21
70  7.04999  8.106e-21
71  7.14999  7.433e-21
72  7.24999  6.945e-21
73  7.34999  6.565e-21
74  7.44999  5.985e-21
75  7.54999  5.749e-21
76  7.64999  5.537e-21
77  7.74999  5.342e-21
78  7.84999  5.162e-21
79  7.94999  4.993e-21
80  8.04999  4.833e-21
81  8.14999  4.682e-21
82  8.24999  4.538e-21
83  8.34999  4.4e-21
84  8.44999  4.268e-21
85  8.54999  4.141e-21
86  8.64999  4.018e-21
87  8.74999  3.901e-21
88  8.84999  3.787e-21
89  8.94999  3.677e-21
90  9.04999  3.571e-21
91  9.14999  3.469e-21
92  9.24999  3.369e-21
93  9.34999  3.273e-21
94  9.44999  3.18e-21
95  9.54999  3.09e-21
96  9.64999  3.002e-21
97  9.74999  2.917e-21
98  9.84999  2.835e-21
100  10.05  2.755e-21
101  10.15  2.678e-21
102  10.25  2.603e-21
103  10.35  2.53e-21
104  10.45  2.459e-21
105  10.55  2.39e-21
107  10.75  2.323e-21
108  10.85  2.258e-21
109  10.95  2.196e-21
110  11.05  2.134e-21
112  11.25  2.075e-21
113  11.35  2.017e-21
114  11.45  1.961e-21
116  11.65  1.907e-21
117  11.75  1.854e-21
118  11.85  1.803e-21
120  12.05  1.753e-21
121  12.15  1.704e-21
123  12.35  1.657e-21
124  12.45  1.612e-21
125  12.55  1.567e-21
127  12.75  1.524e-21
128  12.85  1.482e-21
130  13.05  1.441e-21
131  13.15  1.402e-21
133  13.35  1.363e-21
134  13.45  1.326e-21
136  13.65  1.289e-21
138  13.85  1.254e-21
139  13.95  1.22e-21
141  14.15  1.186e-21
142  14.25  1.154e-21
144  14.45  1.122e-21
146  14.65  1.092e-21
147  14.75  1.062e-21
149  14.95  1.033e-21
151  15.15  1.005e-21
153  15.35  9.776e-22
154  15.45  9.511e-22
156  15.65  9.253e-22
158  15.85  9.002e-22
