freq	hVirgo50W
0,1012	1,494E-9
0,1023	1,428E-9
0,1035	1,365E-9
0,1047	1,305E-9
0,1059	1,247E-9
0,1072	1,193E-9
0,1084	1,141E-9
0,1096	1,092E-9
0,1109	1,045E-9
0,1122	1,001E-9
0,1135	9,582E-10
0,1148	9,178E-10
0,1161	8,793E-10
0,1175	8,426E-10
0,1189	8,077E-10
0,1202	7,743E-10
0,1216	7,426E-10
0,123	7,124E-10
0,1245	6,835E-10
0,1259	6,56E-10
0,1274	6,298E-10
0,1288	6,047E-10
0,1303	5,809E-10
0,1318	5,582E-10
0,1334	5,365E-10
0,1349	5,157E-10
0,1365	4,96E-10
0,138	4,772E-10
0,1396	4,592E-10
0,1413	4,42E-10
0,1429	4,256E-10
0,1445	4,099E-10
0,1462	3,95E-10
0,1479	3,808E-10
0,1496	3,672E-10
0,1514	3,542E-10
0,1531	3,418E-10
0,1549	3,3E-10
0,1567	3,187E-10
0,1585	3,08E-10
0,1603	2,977E-10
0,1622	2,878E-10
0,1641	2,785E-10
0,166	2,696E-10
0,1679	2,611E-10
0,1698	2,53E-10
0,1718	2,453E-10
0,1738	2,379E-10
0,1758	2,309E-10
0,1778	2,243E-10
0,1799	2,18E-10
0,182	2,12E-10
0,1841	2,063E-10
0,1862	2,009E-10
0,1884	1,958E-10
0,1905	1,909E-10
0,1928	1,862E-10
0,195	1,819E-10
0,1972	1,778E-10
0,1995	1,74E-10
0,2018	1,704E-10
0,2042	1,671E-10
0,2065	1,64E-10
0,2089	1,612E-10
0,2113	1,586E-10
0,2138	1,562E-10
0,2163	1,542E-10
0,2188	1,523E-10
0,2213	1,507E-10
0,2239	1,494E-10
0,2265	1,484E-10
0,2291	1,478E-10
0,2317	1,474E-10
0,2344	1,474E-10
0,2371	1,477E-10
0,2399	1,486E-10
0,2427	1,5E-10
0,2455	1,52E-10
0,2483	1,547E-10
0,2512	1,582E-10
0,2541	1,631E-10
0,257	1,696E-10
0,26	1,785E-10
0,263	1,92E-10
0,2661	2,267E-10
0,2692	1,564E-10
0,2723	2,262E-10
0,2754	3,093E-10
0,2786	8,412E-10
0,2818	2,197E-9
0,2851	1,153E-10
0,2884	8,707E-11
0,2917	1,406E-10
0,2951	2,122E-10
0,2985	3,031E-10
0,302	4,445E-10
0,3055	7,837E-10
0,309	2,162E-9
0,3126	1,488E-9
0,3162	5,772E-10
0,3199	3,429E-10
0,3236	2,465E-10
0,3273	1,92E-10
0,3311	1,55E-10
0,335	1,285E-10
0,3388	1,09E-10
0,3428	9,455E-11
0,3467	8,334E-11
0,3508	7,411E-11
0,3548	6,645E-11
0,3589	6,005E-11
0,3631	5,463E-11
0,3673	5,011E-11
0,3715	4,625E-11
0,3758	4,289E-11
0,3802	3,997E-11
0,3846	3,742E-11
0,389	3,521E-11
0,3936	3,332E-11
0,3981	3,166E-11
0,4027	3,022E-11
0,4074	2,898E-11
0,4121	2,793E-11
0,4169	2,709E-11
0,4217	2,643E-11
0,4266	2,593E-11
0,4315	2,568E-11
0,4365	2,562E-11
0,4416	2,596E-11
0,4467	2,703E-11
0,4519	2,978E-11
0,4571	5,246E-11
0,4624	8,452E-12
0,4677	1,898E-11
0,4732	2,281E-11
0,4786	2,578E-11
0,4842	2,901E-11
0,4898	3,315E-11
0,4955	3,887E-11
0,5012	4,938E-11
0,507	7,153E-11
0,5129	1,187E-10
0,5188	5,381E-10
0,5248	1,739E-10
0,5309	7,827E-11
0,537	4,625E-11
0,5433	3,234E-11
0,5495	2,47E-11
0,5559	1,996E-11
0,5623	1,69E-11
0,5689	1,496E-11
0,5754	1,377E-11
0,5821	1,351E-11
0,5888	1,565E-11
0,5957	2,464E-11
0,6026	9,514E-10
0,6095	3,658E-12
0,6166	2,047E-12
0,6237	3,004E-12
0,631	3,423E-12
0,6383	3,706E-12
0,6457	4,117E-12
0,6531	5,022E-12
0,6607	1,089E-11
0,6683	4,822E-12
0,6761	1,054E-12
0,6839	1,873E-12
0,6918	2,416E-12
0,6998	2,887E-12
0,7079	3,443E-12
0,7161	4,216E-12
0,7244	5,788E-12
0,7328	1,063E-11
0,7413	4,175E-11
0,7499	2,781E-11
0,7586	6,67E-12
0,7674	3,94E-12
0,7762	2,704E-12
0,7852	1,999E-12
0,7943	1,56E-12
0,8035	1,26E-12
0,8128	1,086E-12
0,8222	9,131E-13
0,8318	7,989E-13
0,8414	7,129E-13
0,8511	6,461E-13
0,861	5,981E-13
0,871	5,651E-13
0,881	5,463E-13
0,8913	5,414E-13
0,9016	5,561E-13
0,912	6,052E-13
0,9226	7,528E-13
0,9333	3,908E-12
0,9441	2,322E-13
0,955	5,9E-13
0,9661	1,127E-12
0,9772	2,539E-12
0,9886	4,077E-12
1	1,221E-12
1,012	5,512E-13
1,023	3,438E-13
1,035	2,52E-13
1,047	7,296E-13
1,059	6,91E-13
1,072	2,63E-13
1,084	2,463E-13
1,096	2,695E-13
1,109	3,636E-13
1,122	2,845E-12
1,135	4,897E-12
1,148	2,089E-13
1,161	9,539E-14
1,175	5,651E-14
1,189	3,814E-14
